Area_name,Area_type,Average_2018_2019,Category,Count,Variation (%),Week_ending
West Lothian,HSC partnership,1064.5,All,995,-6.5,05-Jan-20
Western Isles,HSC partnership,129.5,All,139,7.3,05-Jan-20
Aberdeen City,HSC partnership,833,All,805,-3.4,12-Jan-20
Aberdeenshire,HSC partnership,466.5,All,511,9.5,12-Jan-20
Angus,HSC partnership,194,All,207,6.7,12-Jan-20
Argyll & Bute,HSC partnership,213,All,265,24.4,12-Jan-20
Clackmannanshire & Stirling,HSC partnership,406.5,All,443,9,12-Jan-20
Dumfries & Galloway,HSC partnership,794,All,834,5,12-Jan-20
Dundee City,HSC partnership,524.5,All,511,-2.6,12-Jan-20
East Ayrshire,HSC partnership,690,All,675,-2.2,12-Jan-20
East Dunbartonshire,HSC partnership,357,All,366,2.5,12-Jan-20
East Lothian,HSC partnership,425.5,All,431,1.3,12-Jan-20
East Renfrewshire,HSC partnership,384,All,382,-0.5,12-Jan-20
Edinburgh,HSC partnership,1905.5,All,1959,2.8,12-Jan-20
Falkirk,HSC partnership,692.5,All,779,12.5,12-Jan-20
Fife,HSC partnership,1280.5,All,1289,0.7,12-Jan-20
Glasgow City,HSC partnership,3231,All,3229,-0.1,12-Jan-20
Highland,HSC partnership,830,All,927,11.7,12-Jan-20
Inverclyde,HSC partnership,525,All,629,19.8,12-Jan-20
Midlothian,HSC partnership,517.5,All,511,-1.3,12-Jan-20
Moray,HSC partnership,404.5,All,480,18.7,12-Jan-20
NHS Ayrshire & Arran,Health board,1957.5,All,1963,0.3,12-Jan-20
NHS Borders,Health board,574,All,557,-3,12-Jan-20
NHS Dumfries & Galloway,Health board,811,All,852,5.1,12-Jan-20
NHS Fife,Health board,1175,All,1218,3.7,12-Jan-20
NHS Forth Valley,Health board,1135,All,1231,8.5,12-Jan-20
NHS Grampian,Health board,1738.5,All,1813,4.3,12-Jan-20
NHS Greater Glasgow & Clyde,Health board,6616,All,6756,2.1,12-Jan-20
NHS Highland,Health board,983.5,All,1097,11.5,12-Jan-20
NHS Lanarkshire,Health board,3771.5,All,4036,7,12-Jan-20
NHS Lothian,Health board,4024.5,All,4129,2.6,12-Jan-20
NHS Orkney,Health board,99,All,148,49.5,12-Jan-20
NHS Shetland,Health board,139.5,All,128,-8.2,12-Jan-20
NHS Tayside,Health board,1300,All,1313,1,12-Jan-20
NHS Western Isles,Health board,115,All,134,16.5,12-Jan-20
North Ayrshire,HSC partnership,696.5,All,696,-0.1,12-Jan-20
North Lanarkshire,HSC partnership,2255.5,All,2378,5.4,12-Jan-20
Orkney Islands,HSC partnership,96,All,141,46.9,12-Jan-20
Perth & Kinross,HSC partnership,492,All,534,8.5,12-Jan-20
Renfrewshire,HSC partnership,1104,All,1185,7.3,12-Jan-20
Scotland,Scotland,24440,All,25375,3.8,12-Jan-20
Scottish Borders,HSC partnership,582.5,All,558,-4.2,12-Jan-20
Shetland Islands,HSC partnership,132,All,125,-5.3,12-Jan-20
South Ayrshire,HSC partnership,629.5,All,633,0.6,12-Jan-20
South Lanarkshire,HSC partnership,1866.5,All,1979,6,12-Jan-20
West Dunbartonshire,HSC partnership,354,All,354,0,12-Jan-20
West Lothian,HSC partnership,1021.5,All,1048,2.6,12-Jan-20
Western Isles,HSC partnership,120,All,133,10.8,12-Jan-20
Aberdeen City,HSC partnership,870,All,883,1.5,19-Jan-20
Aberdeenshire,HSC partnership,477.5,All,544,13.9,19-Jan-20
Angus,HSC partnership,183,All,206,12.6,19-Jan-20
Argyll & Bute,HSC partnership,234.5,All,223,-4.9,19-Jan-20
Clackmannanshire & Stirling,HSC partnership,417.5,All,421,0.8,19-Jan-20
Dumfries & Galloway,HSC partnership,806,All,799,-0.9,19-Jan-20
Dundee City,HSC partnership,534.5,All,553,3.5,19-Jan-20
East Ayrshire,HSC partnership,638,All,614,-3.8,19-Jan-20
East Dunbartonshire,HSC partnership,341.5,All,369,8.1,19-Jan-20
East Lothian,HSC partnership,445,All,442,-0.7,19-Jan-20
East Renfrewshire,HSC partnership,353,All,403,14.2,19-Jan-20
Edinburgh,HSC partnership,2051.5,All,2070,0.9,19-Jan-20
Falkirk,HSC partnership,684.5,All,744,8.7,19-Jan-20
Fife,HSC partnership,1266.5,All,1378,8.8,19-Jan-20
Glasgow City,HSC partnership,3207,All,3330,3.8,19-Jan-20
Highland,HSC partnership,863,All,867,0.5,19-Jan-20
Inverclyde,HSC partnership,554.5,All,569,2.6,19-Jan-20
Midlothian,HSC partnership,495,All,571,15.4,19-Jan-20
Moray,HSC partnership,425,All,517,21.6,19-Jan-20
NHS Ayrshire & Arran,Health board,1900.5,All,1909,0.4,19-Jan-20
NHS Borders,Health board,518.5,All,591,14,19-Jan-20
NHS Dumfries & Galloway,Health board,814.5,All,817,0.3,19-Jan-20
NHS Fife,Health board,1167.5,All,1268,8.6,19-Jan-20
NHS Forth Valley,Health board,1139,All,1214,6.6,19-Jan-20
NHS Grampian,Health board,1798.5,All,1977,9.9,19-Jan-20
NHS Greater Glasgow & Clyde,Health board,6476,All,6724,3.8,19-Jan-20
NHS Highland,Health board,1038,All,1022,-1.5,19-Jan-20
NHS Lanarkshire,Health board,3653,All,3855,5.5,19-Jan-20
NHS Lothian,Health board,4071,All,4362,7.1,19-Jan-20
NHS Orkney,Health board,110,All,139,26.4,19-Jan-20
NHS Shetland,Health board,142.5,All,123,-13.7,19-Jan-20
NHS Tayside,Health board,1258,All,1337,6.3,19-Jan-20
NHS Western Isles,Health board,109.5,All,109,-0.5,19-Jan-20
North Ayrshire,HSC partnership,754,All,730,-3.2,19-Jan-20
North Lanarkshire,HSC partnership,2129,All,2204,3.5,19-Jan-20
Orkney Islands,HSC partnership,107.5,All,135,25.6,19-Jan-20
Perth & Kinross,HSC partnership,452.5,All,483,6.7,19-Jan-20
Renfrewshire,HSC partnership,1066.5,All,1179,10.5,19-Jan-20
Scotland,Scotland,24196.5,All,25447,5.2,19-Jan-20
Scottish Borders,HSC partnership,521.5,All,598,14.7,19-Jan-20
Shetland Islands,HSC partnership,138,All,118,-14.5,19-Jan-20
South Ayrshire,HSC partnership,575.5,All,630,9.5,19-Jan-20
South Lanarkshire,HSC partnership,1834,All,1938,5.7,19-Jan-20
West Dunbartonshire,HSC partnership,343.5,All,352,2.5,19-Jan-20
West Lothian,HSC partnership,925.5,All,1092,18,19-Jan-20
Western Isles,HSC partnership,106,All,104,-1.9,19-Jan-20
Aberdeen City,HSC partnership,875,All,923,5.5,26-Jan-20
Aberdeenshire,HSC partnership,494,All,520,5.3,26-Jan-20
Angus,HSC partnership,181.5,All,226,24.5,26-Jan-20
Argyll & Bute,HSC partnership,254,All,248,-2.4,26-Jan-20
Clackmannanshire & Stirling,HSC partnership,454,All,466,2.6,26-Jan-20
Dumfries & Galloway,HSC partnership,776.5,All,808,4.1,26-Jan-20
Dundee City,HSC partnership,564.5,All,579,2.6,26-Jan-20
East Ayrshire,HSC partnership,711.5,All,738,3.7,26-Jan-20
East Dunbartonshire,HSC partnership,372,All,389,4.6,26-Jan-20
East Lothian,HSC partnership,466,All,441,-5.4,26-Jan-20
East Renfrewshire,HSC partnership,396.5,All,414,4.4,26-Jan-20
Edinburgh,HSC partnership,2072,All,2238,8,26-Jan-20
Falkirk,HSC partnership,714.5,All,724,1.3,26-Jan-20
Fife,HSC partnership,1364,All,1401,2.7,26-Jan-20
Glasgow City,HSC partnership,3380.5,All,3425,1.3,26-Jan-20
Highland,HSC partnership,846.5,All,890,5.1,26-Jan-20
Inverclyde,HSC partnership,551,All,613,11.3,26-Jan-20
Midlothian,HSC partnership,506,All,556,9.9,26-Jan-20
Moray,HSC partnership,429,All,498,16.1,26-Jan-20
NHS Ayrshire & Arran,Health board,2018.5,All,2047,1.4,26-Jan-20
NHS Borders,Health board,570.5,All,548,-3.9,26-Jan-20
NHS Dumfries & Galloway,Health board,796,All,827,3.9,26-Jan-20
NHS Fife,Health board,1220.5,All,1289,5.6,26-Jan-20
NHS Forth Valley,Health board,1195,All,1245,4.2,26-Jan-20
NHS Grampian,Health board,1831.5,All,1965,7.3,26-Jan-20
NHS Greater Glasgow & Clyde,Health board,6851.5,All,7060,3,26-Jan-20
NHS Highland,Health board,1041,All,1043,0.2,26-Jan-20
NHS Lanarkshire,Health board,3954,All,3848,-2.7,26-Jan-20
NHS Lothian,Health board,4265,All,4539,6.4,26-Jan-20
NHS Orkney,Health board,110.5,All,112,1.4,26-Jan-20
NHS Shetland,Health board,130,All,127,-2.3,26-Jan-20
NHS Tayside,Health board,1339.5,All,1413,5.5,26-Jan-20
NHS Western Isles,Health board,110,All,120,9.1,26-Jan-20
North Ayrshire,HSC partnership,726.5,All,732,0.8,26-Jan-20
North Lanarkshire,HSC partnership,2312,All,2310,-0.1,26-Jan-20
Orkney Islands,HSC partnership,110,All,111,0.9,26-Jan-20
Perth & Kinross,HSC partnership,485.5,All,514,5.9,26-Jan-20
Renfrewshire,HSC partnership,1099,All,1153,4.9,26-Jan-20
Scotland,Scotland,25433.5,All,26183,2.9,26-Jan-20
Scottish Borders,HSC partnership,580,All,552,-4.8,26-Jan-20
Shetland Islands,HSC partnership,126,All,124,-1.6,26-Jan-20
South Ayrshire,HSC partnership,629.5,All,647,2.8,26-Jan-20
South Lanarkshire,HSC partnership,1993.5,All,1917,-3.8,26-Jan-20
West Dunbartonshire,HSC partnership,367,All,396,7.9,26-Jan-20
West Lothian,HSC partnership,1033,All,1117,8.1,26-Jan-20
Western Isles,HSC partnership,110,All,118,7.3,26-Jan-20
Aberdeen City,HSC partnership,922,All,960,4.1,02-Feb-20
Aberdeenshire,HSC partnership,505,All,544,7.7,02-Feb-20
Angus,HSC partnership,204,All,245,20.1,02-Feb-20
Argyll & Bute,HSC partnership,228,All,221,-3.1,02-Feb-20
Clackmannanshire & Stirling,HSC partnership,410.5,All,417,1.6,02-Feb-20
Dumfries & Galloway,HSC partnership,825,All,832,0.8,02-Feb-20
Dundee City,HSC partnership,574.5,All,612,6.5,02-Feb-20
East Ayrshire,HSC partnership,710.5,All,726,2.2,02-Feb-20
East Dunbartonshire,HSC partnership,398.5,All,357,-10.4,02-Feb-20
East Lothian,HSC partnership,441,All,481,9.1,02-Feb-20
East Renfrewshire,HSC partnership,363.5,All,410,12.8,02-Feb-20
Edinburgh,HSC partnership,2129,All,2198,3.2,02-Feb-20
Falkirk,HSC partnership,720.5,All,728,1,02-Feb-20
Fife,HSC partnership,1368.5,All,1369,0,02-Feb-20
Glasgow City,HSC partnership,3348,All,3342,-0.2,02-Feb-20
Highland,HSC partnership,936,All,958,2.4,02-Feb-20
Inverclyde,HSC partnership,561,All,614,9.4,02-Feb-20
Midlothian,HSC partnership,508,All,544,7.1,02-Feb-20
Moray,HSC partnership,449.5,All,501,11.5,02-Feb-20
NHS Ayrshire & Arran,Health board,2037,All,2048,0.5,02-Feb-20
NHS Borders,Health board,512.5,All,597,16.5,02-Feb-20
NHS Dumfries & Galloway,Health board,840.5,All,842,0.2,02-Feb-20
NHS Fife,Health board,1234,All,1252,1.5,02-Feb-20
NHS Forth Valley,Health board,1162.5,All,1171,0.7,02-Feb-20
NHS Grampian,Health board,1898,All,2039,7.4,02-Feb-20
NHS Greater Glasgow & Clyde,Health board,6803.5,All,6772,-0.5,02-Feb-20
NHS Highland,Health board,1118,All,1128,0.9,02-Feb-20
NHS Lanarkshire,Health board,3916.5,All,3976,1.5,02-Feb-20
NHS Lothian,Health board,4339,All,4565,5.2,02-Feb-20
NHS Orkney,Health board,123.5,All,125,1.2,02-Feb-20
NHS Shetland,Health board,153,All,159,3.9,02-Feb-20
NHS Tayside,Health board,1377.5,All,1457,5.8,02-Feb-20
NHS Western Isles,Health board,138,All,119,-13.8,02-Feb-20
North Ayrshire,HSC partnership,751.5,All,761,1.3,02-Feb-20
North Lanarkshire,HSC partnership,2351,All,2370,0.8,02-Feb-20
Orkney Islands,HSC partnership,121,All,126,4.1,02-Feb-20
Perth & Kinross,HSC partnership,500.5,All,520,3.9,02-Feb-20
Renfrewshire,HSC partnership,1143,All,1120,-2,02-Feb-20
Scotland,Scotland,25653.5,All,26250,2.3,02-Feb-20
Scottish Borders,HSC partnership,514,All,616,19.8,02-Feb-20
Shetland Islands,HSC partnership,140,All,144,2.9,02-Feb-20
South Ayrshire,HSC partnership,633,All,628,-0.8,02-Feb-20
South Lanarkshire,HSC partnership,1909,All,1871,-2,02-Feb-20
West Dunbartonshire,HSC partnership,361.5,All,384,6.2,02-Feb-20
West Lothian,HSC partnership,1086.5,All,1144,5.3,02-Feb-20
Western Isles,HSC partnership,138,All,119,-13.8,02-Feb-20
Aberdeen City,HSC partnership,956,All,894,-6.5,09-Feb-20
Aberdeenshire,HSC partnership,491,All,568,15.7,09-Feb-20
Angus,HSC partnership,206,All,214,3.9,09-Feb-20
Argyll & Bute,HSC partnership,224,All,227,1.3,09-Feb-20
Clackmannanshire & Stirling,HSC partnership,410.5,All,438,6.7,09-Feb-20
Dumfries & Galloway,HSC partnership,840.5,All,827,-1.6,09-Feb-20
Dundee City,HSC partnership,581,All,656,12.9,09-Feb-20
East Ayrshire,HSC partnership,727,All,653,-10.2,09-Feb-20
East Dunbartonshire,HSC partnership,379.5,All,383,0.9,09-Feb-20
East Lothian,HSC partnership,505,All,472,-6.5,09-Feb-20
East Renfrewshire,HSC partnership,391,All,332,-15.1,09-Feb-20
Edinburgh,HSC partnership,2132.5,All,2181,2.3,09-Feb-20
Falkirk,HSC partnership,718.5,All,756,5.2,09-Feb-20
Fife,HSC partnership,1350,All,1487,10.1,09-Feb-20
Glasgow City,HSC partnership,3462,All,3326,-3.9,09-Feb-20
Highland,HSC partnership,925,All,938,1.4,09-Feb-20
Inverclyde,HSC partnership,589.5,All,556,-5.7,09-Feb-20
Midlothian,HSC partnership,541.5,All,565,4.3,09-Feb-20
Moray,HSC partnership,458.5,All,488,6.4,09-Feb-20
NHS Ayrshire & Arran,Health board,2020,All,1897,-6.1,09-Feb-20
NHS Borders,Health board,584,All,569,-2.6,09-Feb-20
NHS Dumfries & Galloway,Health board,872.5,All,838,-4,09-Feb-20
NHS Fife,Health board,1215,All,1348,10.9,09-Feb-20
NHS Forth Valley,Health board,1152,All,1231,6.9,09-Feb-20
NHS Grampian,Health board,1934.5,All,1963,1.5,09-Feb-20
NHS Greater Glasgow & Clyde,Health board,6904.5,All,6701,-2.9,09-Feb-20
NHS Highland,Health board,1111,All,1116,0.5,09-Feb-20
NHS Lanarkshire,Health board,4021,All,3990,-0.8,09-Feb-20
NHS Lothian,Health board,4434.5,All,4542,2.4,09-Feb-20
NHS Orkney,Health board,119.5,All,129,7.9,09-Feb-20
NHS Shetland,Health board,163,All,148,-9.2,09-Feb-20
NHS Tayside,Health board,1434.5,All,1474,2.8,09-Feb-20
NHS Western Isles,Health board,109,All,102,-6.4,09-Feb-20
North Ayrshire,HSC partnership,698,All,727,4.2,09-Feb-20
North Lanarkshire,HSC partnership,2394,All,2369,-1,09-Feb-20
Orkney Islands,HSC partnership,117.5,All,128,8.9,09-Feb-20
Perth & Kinross,HSC partnership,528,All,505,-4.4,09-Feb-20
Renfrewshire,HSC partnership,1157.5,All,1085,-6.3,09-Feb-20
Scotland,Scotland,26075,All,26048,-0.1,09-Feb-20
Scottish Borders,HSC partnership,585.5,All,587,0.3,09-Feb-20
Shetland Islands,HSC partnership,158.5,All,148,-6.6,09-Feb-20
South Ayrshire,HSC partnership,639.5,All,588,-8.1,09-Feb-20
South Lanarkshire,HSC partnership,1941.5,All,1932,-0.5,09-Feb-20
West Dunbartonshire,HSC partnership,357.5,All,383,7.1,09-Feb-20
West Lothian,HSC partnership,1090,All,1120,2.8,09-Feb-20
Western Isles,HSC partnership,114,All,115,0.9,09-Feb-20
Aberdeen City,HSC partnership,885.5,All,871,-1.6,16-Feb-20
Aberdeenshire,HSC partnership,531,All,502,-5.5,16-Feb-20
Angus,HSC partnership,209,All,204,-2.4,16-Feb-20
Argyll & Bute,HSC partnership,242.5,All,184,-24.1,16-Feb-20
Clackmannanshire & Stirling,HSC partnership,406,All,450,10.8,16-Feb-20
Dumfries & Galloway,HSC partnership,850.5,All,857,0.8,16-Feb-20
Dundee City,HSC partnership,568,All,544,-4.2,16-Feb-20
East Ayrshire,HSC partnership,709.5,All,650,-8.4,16-Feb-20
East Dunbartonshire,HSC partnership,375,All,344,-8.3,16-Feb-20
East Lothian,HSC partnership,469.5,All,411,-12.5,16-Feb-20
East Renfrewshire,HSC partnership,406,All,364,-10.3,16-Feb-20
Edinburgh,HSC partnership,2124,All,2043,-3.8,16-Feb-20
Falkirk,HSC partnership,735,All,758,3.1,16-Feb-20
Fife,HSC partnership,1401.5,All,1331,-5,16-Feb-20
Glasgow City,HSC partnership,3458,All,3245,-6.2,16-Feb-20
Highland,HSC partnership,916,All,895,-2.3,16-Feb-20
Inverclyde,HSC partnership,563.5,All,573,1.7,16-Feb-20
Midlothian,HSC partnership,518,All,500,-3.5,16-Feb-20
Moray,HSC partnership,463,All,446,-3.7,16-Feb-20
NHS Ayrshire & Arran,Health board,2065,All,1811,-12.3,16-Feb-20
NHS Borders,Health board,548.5,All,564,2.8,16-Feb-20
NHS Dumfries & Galloway,Health board,881,All,878,-0.3,16-Feb-20
NHS Fife,Health board,1262,All,1216,-3.6,16-Feb-20
NHS Forth Valley,Health board,1171.5,All,1217,3.9,16-Feb-20
NHS Grampian,Health board,1907.5,All,1849,-3.1,16-Feb-20
NHS Greater Glasgow & Clyde,Health board,6937.5,All,6527,-5.9,16-Feb-20
NHS Highland,Health board,1107.5,All,1069,-3.5,16-Feb-20
NHS Lanarkshire,Health board,3929.5,All,3654,-7,16-Feb-20
NHS Lothian,Health board,4375,All,4130,-5.6,16-Feb-20
NHS Orkney,Health board,118.5,All,122,3,16-Feb-20
NHS Shetland,Health board,144,All,148,2.8,16-Feb-20
NHS Tayside,Health board,1441.5,All,1295,-10.2,16-Feb-20
NHS Western Isles,Health board,122,All,112,-8.2,16-Feb-20
North Ayrshire,HSC partnership,730,All,650,-11,16-Feb-20
North Lanarkshire,HSC partnership,2292.5,All,2174,-5.2,16-Feb-20
Orkney Islands,HSC partnership,117,All,121,3.4,16-Feb-20
Perth & Kinross,HSC partnership,532.5,All,442,-17,16-Feb-20
Renfrewshire,HSC partnership,1142.5,All,1045,-8.5,16-Feb-20
Scotland,Scotland,26011,All,24592,-5.5,16-Feb-20
Scottish Borders,HSC partnership,548.5,All,568,3.6,16-Feb-20
Shetland Islands,HSC partnership,134.5,All,149,10.8,16-Feb-20
South Ayrshire,HSC partnership,654.5,All,585,-10.6,16-Feb-20
South Lanarkshire,HSC partnership,1962,All,1782,-9.2,16-Feb-20
West Dunbartonshire,HSC partnership,390,All,365,-6.4,16-Feb-20
West Lothian,HSC partnership,1060,All,998,-5.8,16-Feb-20
Western Isles,HSC partnership,120.5,All,116,-3.7,16-Feb-20
Aberdeen City,HSC partnership,947.5,All,883,-6.8,23-Feb-20
Aberdeenshire,HSC partnership,502,All,539,7.4,23-Feb-20
Angus,HSC partnership,219,All,215,-1.8,23-Feb-20
Argyll & Bute,HSC partnership,244.5,All,233,-4.7,23-Feb-20
Clackmannanshire & Stirling,HSC partnership,445.5,All,459,3,23-Feb-20
Dumfries & Galloway,HSC partnership,849.5,All,875,3,23-Feb-20
Dundee City,HSC partnership,541,All,602,11.3,23-Feb-20
East Ayrshire,HSC partnership,718,All,687,-4.3,23-Feb-20
East Dunbartonshire,HSC partnership,405,All,415,2.5,23-Feb-20
East Lothian,HSC partnership,474,All,461,-2.7,23-Feb-20
East Renfrewshire,HSC partnership,384,All,382,-0.5,23-Feb-20
Edinburgh,HSC partnership,2109.5,All,2133,1.1,23-Feb-20
Falkirk,HSC partnership,783.5,All,695,-11.3,23-Feb-20
Fife,HSC partnership,1419,All,1415,-0.3,23-Feb-20
Glasgow City,HSC partnership,3493,All,3327,-4.8,23-Feb-20
Highland,HSC partnership,926,All,896,-3.2,23-Feb-20
Inverclyde,HSC partnership,632,All,593,-6.2,23-Feb-20
Midlothian,HSC partnership,535.5,All,511,-4.6,23-Feb-20
Moray,HSC partnership,442.5,All,515,16.4,23-Feb-20
NHS Ayrshire & Arran,Health board,2048,All,1927,-5.9,23-Feb-20
NHS Borders,Health board,583.5,All,557,-4.5,23-Feb-20
NHS Dumfries & Galloway,Health board,878,All,901,2.6,23-Feb-20
NHS Fife,Health board,1312,All,1303,-0.7,23-Feb-20
NHS Forth Valley,Health board,1259.5,All,1155,-8.3,23-Feb-20
NHS Grampian,Health board,1926,All,1957,1.6,23-Feb-20
NHS Greater Glasgow & Clyde,Health board,7108.5,All,6923,-2.6,23-Feb-20
NHS Highland,Health board,1114.5,All,1074,-3.6,23-Feb-20
NHS Lanarkshire,Health board,4072,All,4011,-1.5,23-Feb-20
NHS Lothian,Health board,4382.5,All,4376,-0.1,23-Feb-20
NHS Orkney,Health board,127.5,All,152,19.2,23-Feb-20
NHS Shetland,Health board,147,All,136,-7.5,23-Feb-20
NHS Tayside,Health board,1380.5,All,1420,2.9,23-Feb-20
NHS Western Isles,Health board,131,All,120,-8.4,23-Feb-20
North Ayrshire,HSC partnership,740,All,706,-4.6,23-Feb-20
North Lanarkshire,HSC partnership,2419,All,2332,-3.6,23-Feb-20
Orkney Islands,HSC partnership,126.5,All,148,17,23-Feb-20
Perth & Kinross,HSC partnership,511,All,497,-2.7,23-Feb-20
Renfrewshire,HSC partnership,1177,All,1152,-2.1,23-Feb-20
Scotland,Scotland,26470.5,All,26012,-1.7,23-Feb-20
Scottish Borders,HSC partnership,585.5,All,554,-5.4,23-Feb-20
Shetland Islands,HSC partnership,143,All,130,-9.1,23-Feb-20
South Ayrshire,HSC partnership,642.5,All,571,-11.1,23-Feb-20
South Lanarkshire,HSC partnership,2007,All,1993,-0.7,23-Feb-20
West Dunbartonshire,HSC partnership,357.5,All,363,1.5,23-Feb-20
West Lothian,HSC partnership,1077.5,All,1068,-0.9,23-Feb-20
Western Isles,HSC partnership,135,All,115,-14.8,23-Feb-20
Aberdeen City,HSC partnership,928.5,All,935,0.7,01-Mar-20
Aberdeenshire,HSC partnership,518,All,533,2.9,01-Mar-20
Angus,HSC partnership,199,All,205,3,01-Mar-20
Argyll & Bute,HSC partnership,219,All,238,8.7,01-Mar-20
Clackmannanshire & Stirling,HSC partnership,395,All,433,9.6,01-Mar-20
Dumfries & Galloway,HSC partnership,812,All,891,9.7,01-Mar-20
Dundee City,HSC partnership,586,All,620,5.8,01-Mar-20
East Ayrshire,HSC partnership,726,All,677,-6.7,01-Mar-20
East Dunbartonshire,HSC partnership,375,All,353,-5.9,01-Mar-20
East Lothian,HSC partnership,447.5,All,482,7.7,01-Mar-20
East Renfrewshire,HSC partnership,352.5,All,384,8.9,01-Mar-20
Edinburgh,HSC partnership,1983.5,All,2157,8.7,01-Mar-20
Falkirk,HSC partnership,681,All,778,14.2,01-Mar-20
Fife,HSC partnership,1244.5,All,1424,14.4,01-Mar-20
Glasgow City,HSC partnership,3145.5,All,3393,7.9,01-Mar-20
Highland,HSC partnership,890.5,All,976,9.6,01-Mar-20
Inverclyde,HSC partnership,533.5,All,571,7,01-Mar-20
Midlothian,HSC partnership,492.5,All,556,12.9,01-Mar-20
Moray,HSC partnership,433.5,All,486,12.1,01-Mar-20
NHS Ayrshire & Arran,Health board,2080,All,2086,0.3,01-Mar-20
NHS Borders,Health board,495,All,543,9.7,01-Mar-20
NHS Dumfries & Galloway,Health board,822,All,917,11.6,01-Mar-20
NHS Fife,Health board,1127.5,All,1290,14.4,01-Mar-20
NHS Forth Valley,Health board,1111,All,1259,13.3,01-Mar-20
NHS Grampian,Health board,1914,All,1998,4.4,01-Mar-20
NHS Greater Glasgow & Clyde,Health board,6378,All,6862,7.6,01-Mar-20
NHS Highland,Health board,1085.5,All,1153,6.2,01-Mar-20
NHS Lanarkshire,Health board,3620,All,3891,7.5,01-Mar-20
NHS Lothian,Health board,4052.5,All,4474,10.4,01-Mar-20
NHS Orkney,Health board,118.5,All,137,15.6,01-Mar-20
NHS Shetland,Health board,147,All,127,-13.6,01-Mar-20
NHS Tayside,Health board,1378,All,1515,9.9,01-Mar-20
NHS Western Isles,Health board,132.5,All,99,-25.3,01-Mar-20
North Ayrshire,HSC partnership,749.5,All,772,3,01-Mar-20
North Lanarkshire,HSC partnership,2164.5,All,2285,5.6,01-Mar-20
Orkney Islands,HSC partnership,117,All,134,14.5,01-Mar-20
Perth & Kinross,HSC partnership,494.5,All,560,13.2,01-Mar-20
Renfrewshire,HSC partnership,1071.5,All,1176,9.8,01-Mar-20
Scotland,Scotland,24461.5,All,26351,7.7,01-Mar-20
Scottish Borders,HSC partnership,497.5,All,540,8.5,01-Mar-20
