Area_name,Area_type,Average_2018_2019,Category,Count,Type,Variation (%),Week_ending
North Ayrshire,HSC partnership,754,All,730,Sex,-3.2,19 Jan 20
North Lanarkshire,HSC partnership,2129,All,2205,Sex,3.6,19 Jan 20
Orkney Islands,HSC partnership,107.5,All,135,Sex,25.6,19 Jan 20
Perth & Kinross,HSC partnership,452.5,All,484,Sex,7,19 Jan 20
Renfrewshire,HSC partnership,1066.5,All,1179,Sex,10.5,19 Jan 20
Scotland,Scotland,24196.5,All,25447,Sex,5.2,19 Jan 20
Scottish Borders,HSC partnership,521.5,All,597,Sex,14.5,19 Jan 20
Shetland Islands,HSC partnership,138,All,118,Sex,-14.5,19 Jan 20
South Ayrshire,HSC partnership,575.5,All,630,Sex,9.5,19 Jan 20
South Lanarkshire,HSC partnership,1834,All,1941,Sex,5.8,19 Jan 20
West Dunbartonshire,HSC partnership,343.5,All,352,Sex,2.5,19 Jan 20
West Lothian,HSC partnership,925.5,All,1092,Sex,18,19 Jan 20
Western Isles,HSC partnership,106,All,104,Sex,-1.9,19 Jan 20
Aberdeen City,HSC partnership,875,All,923,Sex,5.5,26 Jan 20
Aberdeenshire,HSC partnership,494,All,520,Sex,5.3,26 Jan 20
Angus,HSC partnership,181.5,All,226,Sex,24.5,26 Jan 20
Argyll & Bute,HSC partnership,254,All,248,Sex,-2.4,26 Jan 20
Clackmannanshire & Stirling,HSC partnership,454,All,467,Sex,2.9,26 Jan 20
Dumfries & Galloway,HSC partnership,776.5,All,809,Sex,4.2,26 Jan 20
Dundee City,HSC partnership,564.5,All,579,Sex,2.6,26 Jan 20
East Ayrshire,HSC partnership,711.5,All,741,Sex,4.1,26 Jan 20
East Dunbartonshire,HSC partnership,372,All,389,Sex,4.6,26 Jan 20
East Lothian,HSC partnership,466,All,441,Sex,-5.4,26 Jan 20
East Renfrewshire,HSC partnership,396.5,All,414,Sex,4.4,26 Jan 20
Edinburgh,HSC partnership,2072,All,2238,Sex,8,26 Jan 20
Falkirk,HSC partnership,714.5,All,725,Sex,1.5,26 Jan 20
Fife,HSC partnership,1364,All,1401,Sex,2.7,26 Jan 20
Glasgow City,HSC partnership,3380.5,All,3429,Sex,1.4,26 Jan 20
Highland,HSC partnership,846.5,All,892,Sex,5.4,26 Jan 20
Inverclyde,HSC partnership,551,All,613,Sex,11.3,26 Jan 20
Midlothian,HSC partnership,506,All,557,Sex,10.1,26 Jan 20
Moray,HSC partnership,429,All,498,Sex,16.1,26 Jan 20
NHS Ayrshire & Arran,Health board,2018.5,All,2047,Sex,1.4,26 Jan 20
NHS Borders,Health board,570.5,All,548,Sex,-3.9,26 Jan 20
NHS Dumfries & Galloway,Health board,796,All,827,Sex,3.9,26 Jan 20
NHS Fife,Health board,1220.5,All,1289,Sex,5.6,26 Jan 20
NHS Forth Valley,Health board,1195,All,1245,Sex,4.2,26 Jan 20
NHS Grampian,Health board,1831.5,All,1965,Sex,7.3,26 Jan 20
NHS Greater Glasgow & Clyde,Health board,6851.5,All,7060,Sex,3,26 Jan 20
NHS Highland,Health board,1041,All,1043,Sex,0.2,26 Jan 20
NHS Lanarkshire,Health board,3954,All,3848,Sex,-2.7,26 Jan 20
NHS Lothian,Health board,4265,All,4539,Sex,6.4,26 Jan 20
NHS Orkney,Health board,110.5,All,112,Sex,1.4,26 Jan 20
NHS Shetland,Health board,130,All,127,Sex,-2.3,26 Jan 20
NHS Tayside,Health board,1339.5,All,1413,Sex,5.5,26 Jan 20
NHS Western Isles,Health board,110,All,120,Sex,9.1,26 Jan 20
North Ayrshire,HSC partnership,726.5,All,734,Sex,1,26 Jan 20
North Lanarkshire,HSC partnership,2312,All,2314,Sex,0.1,26 Jan 20
Orkney Islands,HSC partnership,110,All,111,Sex,0.9,26 Jan 20
Perth & Kinross,HSC partnership,485.5,All,515,Sex,6.1,26 Jan 20
Renfrewshire,HSC partnership,1099,All,1153,Sex,4.9,26 Jan 20
Scotland,Scotland,25433.5,All,26183,Sex,2.9,26 Jan 20
Scottish Borders,HSC partnership,580,All,552,Sex,-4.8,26 Jan 20
Shetland Islands,HSC partnership,126,All,124,Sex,-1.6,26 Jan 20
South Ayrshire,HSC partnership,629.5,All,647,Sex,2.8,26 Jan 20
South Lanarkshire,HSC partnership,1993.5,All,1918,Sex,-3.8,26 Jan 20
West Dunbartonshire,HSC partnership,367,All,396,Sex,7.9,26 Jan 20
West Lothian,HSC partnership,1033,All,1118,Sex,8.2,26 Jan 20
Western Isles,HSC partnership,110,All,118,Sex,7.3,26 Jan 20
Aberdeen City,HSC partnership,922,All,960,Sex,4.1,02 Feb 20
Aberdeenshire,HSC partnership,505,All,544,Sex,7.7,02 Feb 20
Angus,HSC partnership,204,All,245,Sex,20.1,02 Feb 20
Argyll & Bute,HSC partnership,228,All,221,Sex,-3.1,02 Feb 20
Clackmannanshire & Stirling,HSC partnership,410.5,All,417,Sex,1.6,02 Feb 20
Dumfries & Galloway,HSC partnership,825,All,834,Sex,1.1,02 Feb 20
Dundee City,HSC partnership,574.5,All,612,Sex,6.5,02 Feb 20
East Ayrshire,HSC partnership,710.5,All,727,Sex,2.3,02 Feb 20
East Dunbartonshire,HSC partnership,398.5,All,357,Sex,-10.4,02 Feb 20
East Lothian,HSC partnership,441,All,481,Sex,9.1,02 Feb 20
East Renfrewshire,HSC partnership,363.5,All,410,Sex,12.8,02 Feb 20
Edinburgh,HSC partnership,2129,All,2199,Sex,3.3,02 Feb 20
Falkirk,HSC partnership,720.5,All,728,Sex,1,02 Feb 20
Fife,HSC partnership,1368.5,All,1369,Sex,0,02 Feb 20
Glasgow City,HSC partnership,3348,All,3343,Sex,-0.1,02 Feb 20
Highland,HSC partnership,936,All,959,Sex,2.5,02 Feb 20
Inverclyde,HSC partnership,561,All,614,Sex,9.4,02 Feb 20
Midlothian,HSC partnership,508,All,545,Sex,7.3,02 Feb 20
Moray,HSC partnership,449.5,All,501,Sex,11.5,02 Feb 20
NHS Ayrshire & Arran,Health board,2037,All,2048,Sex,0.5,02 Feb 20
NHS Borders,Health board,512.5,All,597,Sex,16.5,02 Feb 20
NHS Dumfries & Galloway,Health board,840.5,All,842,Sex,0.2,02 Feb 20
NHS Fife,Health board,1234,All,1252,Sex,1.5,02 Feb 20
NHS Forth Valley,Health board,1162.5,All,1171,Sex,0.7,02 Feb 20
NHS Grampian,Health board,1898,All,2039,Sex,7.4,02 Feb 20
NHS Greater Glasgow & Clyde,Health board,6803.5,All,6772,Sex,-0.5,02 Feb 20
NHS Highland,Health board,1118,All,1128,Sex,0.9,02 Feb 20
NHS Lanarkshire,Health board,3916.5,All,3976,Sex,1.5,02 Feb 20
NHS Lothian,Health board,4339,All,4565,Sex,5.2,02 Feb 20
NHS Orkney,Health board,123.5,All,125,Sex,1.2,02 Feb 20
NHS Shetland,Health board,153,All,159,Sex,3.9,02 Feb 20
NHS Tayside,Health board,1377.5,All,1457,Sex,5.8,02 Feb 20
NHS Western Isles,Health board,138,All,119,Sex,-13.8,02 Feb 20
North Ayrshire,HSC partnership,751.5,All,763,Sex,1.5,02 Feb 20
North Lanarkshire,HSC partnership,2351,All,2372,Sex,0.9,02 Feb 20
Orkney Islands,HSC partnership,121,All,126,Sex,4.1,02 Feb 20
Perth & Kinross,HSC partnership,500.5,All,521,Sex,4.1,02 Feb 20
Renfrewshire,HSC partnership,1143,All,1120,Sex,-2,02 Feb 20
Scotland,Scotland,25653.5,All,26250,Sex,2.3,02 Feb 20
Scottish Borders,HSC partnership,514,All,618,Sex,20.2,02 Feb 20
Shetland Islands,HSC partnership,140,All,144,Sex,2.9,02 Feb 20
South Ayrshire,HSC partnership,633,All,628,Sex,-0.8,02 Feb 20
South Lanarkshire,HSC partnership,1909,All,1874,Sex,-1.8,02 Feb 20
West Dunbartonshire,HSC partnership,361.5,All,384,Sex,6.2,02 Feb 20
West Lothian,HSC partnership,1086.5,All,1144,Sex,5.3,02 Feb 20
Western Isles,HSC partnership,138,All,119,Sex,-13.8,02 Feb 20
Aberdeen City,HSC partnership,956,All,895,Sex,-6.4,09 Feb 20
Aberdeenshire,HSC partnership,491,All,568,Sex,15.7,09 Feb 20
Angus,HSC partnership,206,All,214,Sex,3.9,09 Feb 20
Argyll & Bute,HSC partnership,224,All,227,Sex,1.3,09 Feb 20
Clackmannanshire & Stirling,HSC partnership,410.5,All,438,Sex,6.7,09 Feb 20
Dumfries & Galloway,HSC partnership,840.5,All,829,Sex,-1.4,09 Feb 20
Dundee City,HSC partnership,581,All,656,Sex,12.9,09 Feb 20
East Ayrshire,HSC partnership,727,All,655,Sex,-9.9,09 Feb 20
East Dunbartonshire,HSC partnership,379.5,All,383,Sex,0.9,09 Feb 20
East Lothian,HSC partnership,505,All,474,Sex,-6.1,09 Feb 20
East Renfrewshire,HSC partnership,391,All,332,Sex,-15.1,09 Feb 20
Edinburgh,HSC partnership,2132.5,All,2184,Sex,2.4,09 Feb 20
Falkirk,HSC partnership,718.5,All,756,Sex,5.2,09 Feb 20
Fife,HSC partnership,1350,All,1487,Sex,10.1,09 Feb 20
Glasgow City,HSC partnership,3462,All,3327,Sex,-3.9,09 Feb 20
Highland,HSC partnership,925,All,938,Sex,1.4,09 Feb 20
Inverclyde,HSC partnership,589.5,All,556,Sex,-5.7,09 Feb 20
Midlothian,HSC partnership,541.5,All,566,Sex,4.5,09 Feb 20
Moray,HSC partnership,458.5,All,488,Sex,6.4,09 Feb 20
NHS Ayrshire & Arran,Health board,2020,All,1897,Sex,-6.1,09 Feb 20
NHS Borders,Health board,584,All,569,Sex,-2.6,09 Feb 20
NHS Dumfries & Galloway,Health board,872.5,All,838,Sex,-4,09 Feb 20
NHS Fife,Health board,1215,All,1348,Sex,10.9,09 Feb 20
NHS Forth Valley,Health board,1152,All,1231,Sex,6.9,09 Feb 20
NHS Grampian,Health board,1934.5,All,1963,Sex,1.5,09 Feb 20
NHS Greater Glasgow & Clyde,Health board,6904.5,All,6701,Sex,-2.9,09 Feb 20
NHS Highland,Health board,1111,All,1116,Sex,0.5,09 Feb 20
NHS Lanarkshire,Health board,4021,All,3990,Sex,-0.8,09 Feb 20
NHS Lothian,Health board,4434.5,All,4542,Sex,2.4,09 Feb 20
NHS Orkney,Health board,119.5,All,129,Sex,7.9,09 Feb 20
NHS Shetland,Health board,163,All,148,Sex,-9.2,09 Feb 20
NHS Tayside,Health board,1434.5,All,1474,Sex,2.8,09 Feb 20
NHS Western Isles,Health board,109,All,102,Sex,-6.4,09 Feb 20
North Ayrshire,HSC partnership,698,All,729,Sex,4.4,09 Feb 20
North Lanarkshire,HSC partnership,2394,All,2370,Sex,-1,09 Feb 20
Orkney Islands,HSC partnership,117.5,All,128,Sex,8.9,09 Feb 20
Perth & Kinross,HSC partnership,528,All,506,Sex,-4.2,09 Feb 20
Renfrewshire,HSC partnership,1157.5,All,1085,Sex,-6.3,09 Feb 20
Scotland,Scotland,26075,All,26048,Sex,-0.1,09 Feb 20
Scottish Borders,HSC partnership,585.5,All,586,Sex,0.1,09 Feb 20
Shetland Islands,HSC partnership,158.5,All,148,Sex,-6.6,09 Feb 20
South Ayrshire,HSC partnership,639.5,All,588,Sex,-8.1,09 Feb 20
South Lanarkshire,HSC partnership,1941.5,All,1934,Sex,-0.4,09 Feb 20
West Dunbartonshire,HSC partnership,357.5,All,383,Sex,7.1,09 Feb 20
West Lothian,HSC partnership,1090,All,1121,Sex,2.8,09 Feb 20
Western Isles,HSC partnership,114,All,115,Sex,0.9,09 Feb 20
Aberdeen City,HSC partnership,885.5,All,871,Sex,-1.6,16 Feb 20
Aberdeenshire,HSC partnership,531.5,All,502,Sex,-5.6,16 Feb 20
Angus,HSC partnership,209,All,205,Sex,-1.9,16 Feb 20
Argyll & Bute,HSC partnership,242.5,All,184,Sex,-24.1,16 Feb 20
Clackmannanshire & Stirling,HSC partnership,406,All,450,Sex,10.8,16 Feb 20
Dumfries & Galloway,HSC partnership,850.5,All,858,Sex,0.9,16 Feb 20
Dundee City,HSC partnership,568,All,544,Sex,-4.2,16 Feb 20
East Ayrshire,HSC partnership,709.5,All,651,Sex,-8.2,16 Feb 20
East Dunbartonshire,HSC partnership,375,All,344,Sex,-8.3,16 Feb 20
East Lothian,HSC partnership,469.5,All,411,Sex,-12.5,16 Feb 20
East Renfrewshire,HSC partnership,406,All,364,Sex,-10.3,16 Feb 20
Edinburgh,HSC partnership,2124,All,2044,Sex,-3.8,16 Feb 20
Falkirk,HSC partnership,735,All,758,Sex,3.1,16 Feb 20
Fife,HSC partnership,1401.5,All,1331,Sex,-5,16 Feb 20
Glasgow City,HSC partnership,3458,All,3247,Sex,-6.1,16 Feb 20
Highland,HSC partnership,916,All,897,Sex,-2.1,16 Feb 20
Inverclyde,HSC partnership,563.5,All,573,Sex,1.7,16 Feb 20
Midlothian,HSC partnership,518,All,502,Sex,-3.1,16 Feb 20
Moray,HSC partnership,462.5,All,446,Sex,-3.6,16 Feb 20
NHS Ayrshire & Arran,Health board,2065,All,1811,Sex,-12.3,16 Feb 20
NHS Borders,Health board,548.5,All,564,Sex,2.8,16 Feb 20
NHS Dumfries & Galloway,Health board,881,All,878,Sex,-0.3,16 Feb 20
NHS Fife,Health board,1262,All,1216,Sex,-3.6,16 Feb 20
NHS Forth Valley,Health board,1171.5,All,1217,Sex,3.9,16 Feb 20
NHS Grampian,Health board,1907.5,All,1849,Sex,-3.1,16 Feb 20
NHS Greater Glasgow & Clyde,Health board,6937.5,All,6527,Sex,-5.9,16 Feb 20
NHS Highland,Health board,1107.5,All,1069,Sex,-3.5,16 Feb 20
NHS Lanarkshire,Health board,3929.5,All,3654,Sex,-7,16 Feb 20
NHS Lothian,Health board,4375,All,4130,Sex,-5.6,16 Feb 20
NHS Orkney,Health board,118.5,All,122,Sex,3,16 Feb 20
NHS Shetland,Health board,144,All,148,Sex,2.8,16 Feb 20
NHS Tayside,Health board,1441.5,All,1295,Sex,-10.2,16 Feb 20
NHS Western Isles,Health board,122,All,112,Sex,-8.2,16 Feb 20
North Ayrshire,HSC partnership,730,All,651,Sex,-10.8,16 Feb 20
North Lanarkshire,HSC partnership,2292.5,All,2175,Sex,-5.1,16 Feb 20
Orkney Islands,HSC partnership,117,All,121,Sex,3.4,16 Feb 20
Perth & Kinross,HSC partnership,532.5,All,443,Sex,-16.8,16 Feb 20
Renfrewshire,HSC partnership,1142.5,All,1045,Sex,-8.5,16 Feb 20
Scotland,Scotland,26011,All,24592,Sex,-5.5,16 Feb 20
Scottish Borders,HSC partnership,548.5,All,568,Sex,3.6,16 Feb 20
Shetland Islands,HSC partnership,134.5,All,149,Sex,10.8,16 Feb 20
South Ayrshire,HSC partnership,654.5,All,586,Sex,-10.5,16 Feb 20
South Lanarkshire,HSC partnership,1962,All,1784,Sex,-9.1,16 Feb 20
West Dunbartonshire,HSC partnership,390,All,365,Sex,-6.4,16 Feb 20
West Lothian,HSC partnership,1060,All,998,Sex,-5.8,16 Feb 20
Western Isles,HSC partnership,120.5,All,116,Sex,-3.7,16 Feb 20
Aberdeen City,HSC partnership,947.5,All,884,Sex,-6.7,23 Feb 20
Aberdeenshire,HSC partnership,502,All,539,Sex,7.4,23 Feb 20
Angus,HSC partnership,219,All,215,Sex,-1.8,23 Feb 20
Argyll & Bute,HSC partnership,244.5,All,232,Sex,-5.1,23 Feb 20
Clackmannanshire & Stirling,HSC partnership,445.5,All,461,Sex,3.5,23 Feb 20
Dumfries & Galloway,HSC partnership,849.5,All,876,Sex,3.1,23 Feb 20
Dundee City,HSC partnership,541.5,All,602,Sex,11.2,23 Feb 20
East Ayrshire,HSC partnership,718,All,688,Sex,-4.2,23 Feb 20
East Dunbartonshire,HSC partnership,405,All,415,Sex,2.5,23 Feb 20
East Lothian,HSC partnership,474,All,461,Sex,-2.7,23 Feb 20
East Renfrewshire,HSC partnership,384,All,384,Sex,0,23 Feb 20
Edinburgh,HSC partnership,2109.5,All,2134,Sex,1.2,23 Feb 20
Falkirk,HSC partnership,783.5,All,695,Sex,-11.3,23 Feb 20
Fife,HSC partnership,1419,All,1416,Sex,-0.2,23 Feb 20
Glasgow City,HSC partnership,3493,All,3328,Sex,-4.7,23 Feb 20
Highland,HSC partnership,926,All,897,Sex,-3.1,23 Feb 20
Inverclyde,HSC partnership,632,All,593,Sex,-6.2,23 Feb 20
Midlothian,HSC partnership,535.5,All,511,Sex,-4.6,23 Feb 20
Moray,HSC partnership,442.5,All,515,Sex,16.4,23 Feb 20
NHS Ayrshire & Arran,Health board,2048,All,1927,Sex,-5.9,23 Feb 20
NHS Borders,Health board,583.5,All,557,Sex,-4.5,23 Feb 20
NHS Dumfries & Galloway,Health board,878,All,901,Sex,2.6,23 Feb 20
NHS Fife,Health board,1312,All,1303,Sex,-0.7,23 Feb 20
NHS Forth Valley,Health board,1259.5,All,1155,Sex,-8.3,23 Feb 20
NHS Grampian,Health board,1926,All,1957,Sex,1.6,23 Feb 20
NHS Greater Glasgow & Clyde,Health board,7108.5,All,6923,Sex,-2.6,23 Feb 20
NHS Highland,Health board,1114.5,All,1074,Sex,-3.6,23 Feb 20
NHS Lanarkshire,Health board,4072,All,4011,Sex,-1.5,23 Feb 20
NHS Lothian,Health board,4382.5,All,4376,Sex,-0.1,23 Feb 20
NHS Orkney,Health board,127.5,All,152,Sex,19.2,23 Feb 20
NHS Shetland,Health board,147,All,136,Sex,-7.5,23 Feb 20
NHS Tayside,Health board,1380.5,All,1420,Sex,2.9,23 Feb 20
NHS Western Isles,Health board,131,All,120,Sex,-8.4,23 Feb 20
North Ayrshire,HSC partnership,740,All,708,Sex,-4.3,23 Feb 20
North Lanarkshire,HSC partnership,2419,All,2336,Sex,-3.4,23 Feb 20
Orkney Islands,HSC partnership,126.5,All,148,Sex,17,23 Feb 20
Perth & Kinross,HSC partnership,511,All,498,Sex,-2.5,23 Feb 20
Renfrewshire,HSC partnership,1177,All,1152,Sex,-2.1,23 Feb 20
Scotland,Scotland,26470.5,All,26012,Sex,-1.7,23 Feb 20
Scottish Borders,HSC partnership,585.5,All,554,Sex,-5.4,23 Feb 20
Shetland Islands,HSC partnership,143,All,130,Sex,-9.1,23 Feb 20
South Ayrshire,HSC partnership,642.5,All,571,Sex,-11.1,23 Feb 20
